,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
165,IESE Business School,COURSE,4.8,Mixed,56k
166,UCL School of Management,COURSE,4.8,Beginner,7.8k
167,Università Bocconi,COURSE,4.6,Mixed,10k
168,Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,75k
169,University of Virginia,COURSE,4.8,Beginner,15k
170,Universidad de Chile,COURSE,4.8,Intermediate,43k
171,Google,COURSE,4.8,Beginner,81k
172,University of Minnesota,COURSE,4.3,Mixed,140k
173,Wesleyan University,SPECIALIZATION,4.6,Beginner,140k
174,Wesleyan University,COURSE,4.7,Mixed,120k
175,Arizona State University,SPECIALIZATION,4.7,Beginner,150k
176,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,26k
177,Universidad de Chile,COURSE,4.8,Intermediate,22k
178,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,17k
179,University of New Mexico,COURSE,4.6,Beginner,5.5k
180,Northwestern University,COURSE,4.7,Beginner,18k
181,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate,99k
182,University System of Georgia,COURSE,4.2,Beginner,140k
183,University of Colorado System,SPECIALIZATION,4.6,Beginner,23k
184,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,55k
185,The Pennsylvania State University,COURSE,4.8,Mixed,23k
186,Wesleyan University,SPECIALIZATION,4.4,Beginner,100k
187,PwC,SPECIALIZATION,4.6,Beginner,220k
188,IBM,COURSE,4.7,Beginner,110k
189,University of Amsterdam,COURSE,4.8,Beginner,24k
190,University of Michigan,COURSE,4.7,Intermediate,19k
191,Google Cloud,SPECIALIZATION,4.4,Intermediate,3k
192,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,120k
193,Google Cloud,SPECIALIZATION,4.6,Intermediate,120k
194,Vanderbilt University,COURSE,4.7,Beginner,42k
195,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,140k
196,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,830k
197,Duke University,COURSE,4.5,Beginner,140k
198,IBM,COURSE,4.6,Beginner,89k
199,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,740k
200,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,210k
201,Duke University,COURSE,4.7,Mixed,130k
202,PwC,COURSE,4.8,Beginner,60k
203,IBM,COURSE,4.6,Intermediate,66k
204,"University of California, Davis",SPECIALIZATION,4.5,Beginner,96k
205,University of Colorado System,SPECIALIZATION,4.5,Advanced,140k
206,Johns Hopkins University,COURSE,4.7,Beginner,18k
207,PwC,COURSE,4.6,Beginner,120k
208,IBM,COURSE,4.7,Beginner,110k
209,Universiteit Leiden,COURSE,4.8,Beginner,150k
210,University of Pennsylvania,COURSE,4.6,Mixed,31k
211,deeplearning.ai,SPECIALIZATION,4.8,Intermediate,690k
212,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,44k
213,University of Michigan,COURSE,4.7,Beginner,4.5k
214,Novosibirsk State University,COURSE,4.4,Beginner,8.2k
215,University of Virginia,COURSE,4.6,Beginner,240k
216,University of Virginia,COURSE,4.6,Beginner,17k
